fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
02180,0.010114,0.163506,0.002845,0.012115,0.4,0.758428,0.0321879
02185,0.045069,0.333722,0.009968,0.026405,0.1,0.540827,0.276913
02188,0.005583,0.112455,0.004918,0.00771,0.2,0.813638,0.0437014
02195,0.026212,0.710616,0.003932,0.034076,1.2,0.160944,
02198,0.003778,0.503508,0.003058,0.022846,1.4,0.397014,-0.0955093
02220,0.059565,0.652854,0.005292,0.049206,3.1,0.168112,0.00520656
02230,0.005165,0.914256,0,0.021694,2.1,0.035124,
02240,0.009105,0.803955,0.010812,0.033291,0.3,0.114952,0.138484
02261,0.036737,0.739622,0.004774,0.036218,0.3,0.136467,-0.0548308
02270,0.002413,0.026947,0.000134,0.000938,0.4,0.949859,0.0613261
02275,0.01393,0.725623,0.001688,0.015618,0.9,0.162094,
02282,0.040785,0.424471,0.003021,0.02568,0.1,0.358006,-0.180693
02290,0.002505,0.222441,0.00179,0.011811,0,0.714388,-0.147
04001,0.002838,0.232585,0.002447,0.05751,6.4,0.729243,0.0301773
04003,0.019224,0.784835,0.041608,0.3239,21.3,0.012098,0.115418
04005,0.013733,0.617218,0.012119,0.135143,7.2,0.273127,0.155614
04007,0.005094,0.767991,0.004347,0.178891,11.3,0.148255,0.0440635
04009,0.005373,0.720768,0.01835,0.304138,8.1,0.144438,0.11141
04011,0.005452,0.772075,0.010549,0.478843,4.6,0.023112,-0.01287
04012,0.005222,0.698228,0.006296,0.234565,4.6,0.128264,0.0392594
04013,0.03464,0.730075,0.049912,0.295705,414.9,0.02052,0.242491
04015,0.010505,0.868582,0.009401,0.147708,15,0.022479,0.291256
04017,0.005398,0.492997,0.00873,0.107688,10.8,0.433796,0.10238
04019,0.026249,0.743424,0.035372,0.345624,106.7,0.033261,0.161799
04021,0.017277,0.723882,0.045813,0.284687,70,0.05575,1.09078
04023,0.005377,0.734606,0.003775,0.828195,38.3,0.006917,0.235507
04025,0.008458,0.893296,0.006004,0.13613,26,0.016817,0.259771
04027,0.011872,0.704369,0.020082,0.597249,35.5,0.015612,0.223245
05001,0.004837,0.718177,0.245071,0.026973,19.2,0.001893,-0.0833775
05003,0.00183,0.692948,0.258088,0.048918,23.6,0.003203,-0.0973192
05005,0.004071,0.969118,0.001614,0.016573,74.9,0.005589,0.081462
05007,0.028549,0.825959,0.012714,0.154889,261.2,0.016947,0.442831
05009,0.004227,0.965342,0.001951,0.018264,62.5,0.007127,0.0870449
05011,0.002346,0.602537,0.275721,0.131734,17.7,0.004866,-0.0866667
05013,0.002049,0.745343,0.222057,0.028316,8.5,0.002794,-0.0654596
05015,0.005975,0.89605,0.003753,0.127122,43.6,0.009145,0.0823836
05017,0.004661,0.412203,0.540763,0.045932,18.3,0.001949,-0.164128
05019,0.005219,0.71833,0.235399,0.04027,26.6,0.004262,-0.023401
05021,0.001244,0.975067,0.003482,0.013493,25.2,0.002611,-0.0866602
05023,0.002002,0.967655,0.002772,0.019908,46.9,0.005429,0.0800133
05025,0.001151,0.857636,0.121878,0.016688,14.5,0.002647,0.0137674
05027,0.007209,0.598566,0.368972,0.021709,32.1,0.002892,-0.0410499
05029,0.003902,0.842241,0.112114,0.035585,38.5,0.007145,0.0460759
05031,0.011146,0.812117,0.131062,0.044347,136.4,0.003546,0.174015
05033,0.014415,0.890973,0.011703,0.060696,104.4,0.02247,0.163408
05035,0.005913,0.460611,0.511787,0.019921,83.5,0.002652,0.000707742
05037,0.004645,0.755176,0.222272,0.014885,29,0.00263,-0.08481
05039,0.001355,0.551503,0.418926,0.023164,12.2,0.003943,-0.118784
05041,0.003306,0.478936,0.47786,0.044434,16.9,0.002691,-0.152076
