month,unemployment,inflation,misery,president
2009-12,10,2.72,12.72,obama
2010-01,9.7,2.63,12.33,obama
2010-02,9.7,2.14,11.84,obama
2010-03,9.7,2.31,12.01,obama
2010-04,9.9,2.24,12.14,obama
2010-05,9.7,2.02,11.72,obama
2010-06,9.5,1.05,10.55,obama
2010-07,9.5,1.24,10.74,obama
2010-08,9.6,1.15,10.75,obama
2010-09,9.6,1.14,10.74,obama
2010-10,9.6,1.17,10.77,obama
2010-11,9.8,1.14,10.94,obama
2010-12,9.4,1.5,10.9,obama
2011-01,9,1.63,10.63,obama
2011-02,8.9,2.11,11.01,obama
2011-03,8.8,2.68,11.48,obama
2011-04,9,3.16,12.16,obama
2011-05,9.1,3.57,12.67,obama
2011-06,9.2,3.56,12.76,obama
2011-07,9.1,3.63,12.73,obama
2011-08,9.1,3.77,12.73,obama
2011-09,9.1,3.87,12.97,obama
2011-10,9,3.53,12.53,obama
2011-11,8.6,3.39,11.99,obama
2011-12,8.5,2.96,11.46,obama
2012-01,8.3,2.93,11.23,obama
2012-02,8.3,2.87,11.17,obama
